customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
110843,AHMEDALF/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,MIAN WALI - MUZAFFARGARH ROAD,32.00544,71.47364,4
110998,NAEEM P/S,MIANWALI,MIANWALI,DIK,PUNJAB,MM ROAD NEAR KUNDIAN CHOWK,32.43017,71.53985,4
111068,ACHLANA F/S,LAYYAH,LAYYAH,DIK,PUNJAB,LAYYAH- KOT ADDU ROAD AT,30.78813,70.93285,3
111273,AL-HAMID F/S,LAYYAH,LAYYAH,DIK,PUNJAB,BHATTI NAGAR KM1/2 ON BY PASS ROAD,30.95532,70.95975,4
111291,P.A.E.C FOUNDATION,MIANWALI,MIANWALI,DIK,PUNJAB,DISTT MIANWALI,32.41613,71.44249,4
117623,HUMBER P/S,MIANWALI,MIANWALI,DIK,PUNJAB,BANNU ROAD NEAR DIGRI COLLEGE,32.68529,71.27385,4
111556,NATIONAL LOGISTIC CORPORATION F/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,KM126-127 MM.ROAD CHAK NO 208,31.48273,71.23543,3
119590,MOHSIN F/S,D.I KHAN,D.I KHAN,DIK,KP,AT DHAB CHABAK MULTAN-DIKHAN ROAD DIKHAN,31.7631,70.92381,5
112077,M. SALEEM F/S,MIANWALI,MIANWALI,DIK,PUNJAB,KALA BAGH- BANNU ROAD,32.89101,71.55048,3
112281,PEOPLES F/S,LAYYAH,LAYYAH,DIK,PUNJAB,FATEHPUR,31.1817,71.20262,4
113299,AHMED P/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,KALOORKOT,32.14214,71.25996,4
113300,PUNJAB SARHAD -II F/S,LAYYAH,LAYYAH,DIK,PUNJAB,JAMAL KHAPRI AT CHOWBARA,31.05027,71.30847,3
113427,AHSAN F/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,MIANWALI-MUZAFFARGARH ROAD KALUR KOT BHAKKAR,31.97173,71.46746,5
113738,POLICE WELFARE F/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,"DISTRICT POLICE LINES BHAKKAR -KHASAR ROAD, BHAKKAR",31.63004,71.08666,4
113873,BUKHARI F/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,MM ROAD AT CHANDNI CHOWK,32.11595,71.50005,3
118005,KK GASOLINE,D.I KHAN,D.I KHAN,DIK,KP,BANNU ROAD DIKHAN CITY,31.83792,70.91201,7
114017,MAKKA F/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,DARYA KHAN ROAD,31.63904,71.07441,3
114171,MODEL FILLING STATION,LAYYAH,LAYYAH,DIK,PUNJAB,KAROR-FATHEPUR ROAD LAYYAH,31.18269,71.19031,3
114448,ALI FILLING STATION,LAYYAH,LAYYAH,DIK,PUNJAB,AT KM 2 FROM MM ROAD ON LAYYAH RD. AT Chowk Azam LAYYAH,30.96614,71.19453,4
114453,KAKAR FILLING STATION,BHAKKAR,BHAKKAR,DIK,PUNJAB,CHAK NO. 202 MM ROAD AT SERAI,31.56949,71.26265,3
114573,SAHIL F/S,BHAKKAR,BHAKKAR,DIK,PUNJAB,DARYA KHAN DISTT BHAKKAR,31.77606,71.10654,4
114616,ASJAD FILLING STATION,BHAKKAR,BHAKKAR,DIK,PUNJAB,ASJAD NO 34-B /TDA NEAR MILL MORE BHAKKAR,31.61669,71.06782,4
116334,AL-HAMD FILLING STATION,MIANWALI,MIANWALI,DIK,PUNJAB,CHACK NO 19-B M M ROAD PIPLAN MIANWALI,32.2813,71.52765,3
114622,AL-AZEEM FILLING STATION,LAYYAH,LAYYAH,DIK,PUNJAB,"COLLEGE ROAD, HOUSING COLONY LAYYAH",30.98004,70.95743,3
114678,KHAN FILL STATION,LAYYAH,LAYYAH,DIK,PUNJAB,BHAKKAR KARORCTYKARORLALISAN-LAYYAH,31.22964,70.94987,5
114682,GREEN WAYS F/S,LAYYAH,LAYYAH,DIK,PUNJAB,CHOWK AZAM,30.96659,71.21173,5
114683,SARWAR P/S,LAYYAH,LAYYAH,DIK,PUNJAB,KM-53-54 LEIAH-GARHHRAROAD CHOBARA LEIAH,30.9095,71.49788,6
114697,PUNJAB SARHAD P/S,LAYYAH,LAYYAH,DIK,PUNJAB,CHAK NO-306/TDAKAROR LALISAN LAYYAH,31.08602,71.21055,8
114767,GORCHA FILLING STATION,BHAKKAR,BHAKKAR,DIK,PUNJAB,BHAKKAR BYE PASS,31.57454,71.16126,3
114869,AL-NAJAF PET SERVICES,BHAKKAR,BHAKKAR,DIK,PUNJAB,85/86 MWI / M.GARK RD.AT MOUZA DULEWALAKALOOR KOTT,31.82774,71.41743,4
115024,FATEHPUR F/S,LAYYAH,LAYYAH,DIK,PUNJAB,FATEHPUR,31.18245,71.20977,4
115380,SHAN-E-HAIDER F/S,MIANWALI,MIANWALI,DIK,PUNJAB,"TEHSIL, PIPLAN MM ROAD",32.34857,71.53119,4
112098,AL-HUSSAIN F/S,LAHORE,LAHORE,DIK,PUNJAB,JHANG-BHAKKAR ROAD AT MANKERA,31.37367,71.55644,4
115610,ALI F/S,D.I KHAN,D.I KHAN,DIK,KP,"B/W KM 2/3, D.I.KHAN-BANNU ROAD",31.8444,70.91118,5
115758,UZAIR FILLING STATION,LAYYAH,LAYYAH,DIK,PUNJAB,LAYYAH BHAKKAR ROAD AT SAMTIA,31.33118,70.99352,4
115804,AWAN F/S,LAYYAH,LAYYAH,DIK,PUNJAB,M M ROAD CHAK NO-307FATEHPUR LAYYAH,31.06407,71.20894,5
115805,HAFIZ F/S,MIANWALI,MIANWALI,DIK,PUNJAB,ON PIPLAN HARNOLI ROAD AT HAFIZ WALA,32.28582,71.45929,4
114166,YOUNUS FILLING STATION,LAYYAH,LAYYAH,DIK,PUNJAB,CHAK 242/B TDA ATHARA HAZARI JHANG - FSD ROAD,31.16229,71.26631,3
