customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
120013,PSO S/S 89 (ZAHIRPIR NORTH),ZAHIR PIR,RAHIM YAR KHAN,BWP,PUNJAB,MOTOR WAY (M-5) SERVICE AREA RAHIM YAR KHAN ZAHIR PIR,28.922335,70.622736,8
120009,PSO S/S 90 (ZAHIRPIR SOUTH),ZAHIR PIR,RAHIM YAR KHAN,BWP,PUNJAB,MOTOR WAY (M-5) SERVICE AREA RAHIM YAR KHAN ZAHIR PIR,28.920229,70.624012,8
119376,AHMED PETROLEUM SERVICE2,RAHIMYARKHAN,RAHIM YAR KHAN,BWP,PUNJAB,RAILWLAY ROAD RAHIMYARKHAN,28.421078,70.301881,3
117444,HAIDER P S,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,"GULSHAN IQBAL, SHAHI ROAD RAHIM YAR KHAN",28.4337,70.34338,3
117474,AL-HAMD FILLING STATION,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,ALONG SIDE SADIQ CANAL CHAK NO. 111/P RAHIM YAR KHAN,28.415938,70.333487,4
117859,NEW AFRIDI FILLING STATION,LODHRAN,LODHRAN,BWP,PUNJAB,"LODHRAN - KHANEWAL ROAD, MAUZA RUKAN PUR, DISTRICT LODHRAN",29.6591467,71.6873017,4
118374,ROHI YAZMAN P S,YAZMAN,BAHAWALPUR,BWP,PUNJAB,"CHAK NO. 108/ DB, CHANDNI CHOWK DISTRICT BAHAWALPUR",29.5268336,71.6421015,5
118970,ALI HUSSAIN PETROLEUM SERVICE,UCH SHARIF,BAHAWALPUR,BWP,PUNJAB,"T.M.P - HEAD PUNJNAD ROAD ADJACENT M-4, UCH SHARIF INTERCHANGE BAHAWALPUR",29.2440841,71.0404325,4
119095,RAMZAN F/S,SADIQABAD,RAHIM YAR KHAN,BWP,PUNJAB,CHAK # 26/NP SADIQABAD-JAMALDIN WALI ROAD RAHIM YAR KHAN SADIQABAD,28.34692,70.10972,3
119099,DHA FILLING STATION,BAHAWALPUR,BAHAWALPUR,BWP,PUNJAB,MAIN BULEVARD ROUND ABOUT DHA BAHAWALPUR,29.32777,71.67826,4
119113,GHAUS BASHIR P S,SADIQABAD,RAHIM YAR KHAN,BWP,PUNJAB,MAUZA JAMAL DEEN WALI TEHSIL SADIQABAD DISTRICT RAHIM YAR KHAN SADIQABAD,28.500328,70.057595,3
119129,TAHSEEN FOUR PETROLEUM SERVICE,MATILA CHOWK,VEHARI,BWP,PUNJAB,TIBA SULTAN PUR MULTAN-VEHARI ROAD VEHARI MATILA CHOWK,29.99312,71.844726,4
119383,GORAYA PS,BAHAWALPUR,BAHAWALPUR,BWP,PUNJAB,SAMASATA ROAD GHANIPUR RAILWAY STATION BAHAWALPUR,29.39478,71.63761,3
